Campaign;Campaign ID;Campaign type;Campaign start date;Campaign end date;Impr.;Clicks;Cost
DG_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_5.4.-15.6.2024.;21168003242;Demand Gen;8 Apr 2024;15 Jun 2024;0;0;0
DG_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ_1.10.-15.12.2024.;21779102800;Demand Gen;3 Oct 2024;15 Dec 2024;0;0;0
DG_OMD_SI-EN_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_08.10.-30.12.2024._DEMAND GEN;21794178136;Demand Gen;8 Oct 2024;24 Dec 2024;0;0;0
OMD_RS_MG-MG_Hybrid_onebladeq12022_CF_14.02.2022_30.03.2022_DIS;16186383277;Display;14 Feb 2022;30 Mar 2022;0;0;0
OMD_RS_BEA_IPL_lumeaq42022_CF_24.10.2022_22.12.2022_Dis Remarketing;18666245511;Display;24 Oct 2022;22 Dec 2022;0;0;0
OMD_SRB_BEA-BEA_IPL_lumeaq22023_CF_17.04.2023_15.06.2023_gdn_consideration;20009074528;Display;19 Apr 2023;15 Jun 2023;0;0;0
OMD_SRB_MG-MG_MultipleProducts_obbladeq42023_CF_10.10.2023_25.11.2023_GDN_remarketing;20646666214;Display;10 Oct 2023;25 Nov 2023;0;0;0
OMD_SRB_OHC-PT_MultipleProducts_sonicareq4_CF_27.10.2023_22.12.2023_gdn_consideration_rt;20727277340;Display;30 Oct 2023;22 Dec 2023;0;0;0
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_DG_20.2.-30.4.2024.;21039667193;Demand Gen;20 Feb 2024;30 Apr 2024;0;0;0
JGL Vizol S September - October 2020 (YT) - Screen professionals;11190490470;In-stream video;28 Sept 2020;31 Oct 2020;0;0;0
JGL Farmacy Museum July - Sep 2021 (DN) - HR - CPC;13972555560;Display;21 Jul 2021;15 Sept 2021;0;0;0
Dr. Oetker Feliciana Pizza Aug 2023 (DN) - CPC;20440251809;Display;10 Aug 2023;31 Aug 2023;0;0;0
Hervis SDXXL KW 28 July 2023 (DN) - CPC;20363432348;Display;13 Jul 2023;15 Jul 2023;0;0;0
PMAX_OMD_RS-EN_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_05.06.-30.07.PMAX;21336471533;Performance Max;5 Jun 2024;30 Jul 2024;0;0;0
Philips | Lumea | Q2 | 2019 | 04 | YT | 50.000;1778159715;In-stream video;1 May 2019;15 Jun 2019;0;0;0
Philips_SteamGeneratorsQ42019_GDN_RTG;6511204200;Display;26 Sept 2019;15 Nov 2019;0;0;0
Philips | Coffee | Q3 | 2020 | GDN;9549786420;Display;2 Mar 2020;15 Jul 2020;0;0;0
Philips | OHC | Sonicare | Q3 | 2020 | GDN mobile;10257815686;Display;9 Jun 2020;20 Jul 2020;0;0;0
Philips | OHC | Sonicare | Q3 | 2020 | GDN mobile | RTG;10263185910;Display;9 Jun 2020;20 Jul 2020;0;0;0
Philips | Steam Generators | YT | Q3 | 2020;10341343919;In-stream video;19 Jun 2020;30 Jun 2020;0;0;0
Philips Multigroomers 2022 Q2 purchase GDN rtg;16906503502;Display;14 Apr 2022;30 May 2022;0;0;0
Philips OneBlade Q4 2022;18807071217;Display;3 Nov 2022;30 Nov 2022;0;0;0
DG_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22309625236;Demand Gen;4 Mar 2025;15 Apr 2025;1,553,478;35,119;1700.45
2020_09_Handsticks_YT;11065347071;In-stream video;15 Sept 2020;15 Nov 2020;0;0;0
2021_05_Lumea_GDN;12873697918;Display;1 May 2021;15 Jul 2021;0;0;0
2021_05_Multigroomers_GDN_REM;13244390120;Display;1 Jun 2021;30 Jun 2021;0;0;0
OMD_SLO_MG-MG_Grooming_multigroomq22023_CF_04.05.2023_14.06.2023_gdn_performancemax;20105073787;Performance Max;8 May 2023;14 Jun 2023;0;0;0
DG_OMD_SI-SL_OHC_ID_CordlessPowerFlosser_CordlessPFCombos_RECCONFLO_GOO_BRD_PowerFlosser_DG_2.5.-2.7.2024.;21239093452;Demand Gen;2 May 2024;2 Jul 2024;0;0;0
DG_OMD_SI-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_ONEBLADE;21394181459;Demand Gen;18 Jun 2024;30 Nov 2024;0;0;0
DG_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade 1.10.-30.11.2024._DemandGen;21764235096;Demand Gen;2 Oct 2024;30 Nov 2024;0;0;0
DG_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22258612036;Demand Gen;18 Feb 2025;14 Apr 2025;1,762,368;38,866;1700.7
OMD_RS_BHIW_OralHygiene_sonicareq22022_CF_01.06.2022_07.07.2022_DIS_Remarketing;17366181769;Display;1 Jun 2022;7 Jul 2022;0;0;0
OMD_RS_MG_Hybrid_onebladeq42022_CF_01.10.2022_31.10.2022 - YT;18474839448;In-stream video;1 Oct 2022;31 Oct 2022;0;0;0
OMD_SRB_MG-MG_MultipleProducts_obbladesq12023_CF_20.01.2023_20.02.2023_GDN_consideration;19584254322;Display;20 Jan 2023;20 Feb 2023;0;0;0
Vizol Brand Lift November 2017 2;969871159;In-stream video;31 Oct 2017;14 Nov 2017;0;0;0
JGL Reflustat October 2019 (YT);7186948969;In-stream video;22 Oct 2019;31 Oct 2019;0;0;0
JGL Reflustat March 2021 (YT) - TrueView- Flight 1 - CPV;12548811809;In-stream video;15 Mar 2021;31 Mar 2021;0;0;0
JGL Meralys January - February 2022 (YT) - TrueView for Reach - CPM;15906642424;In-stream video;18 Jan 2022;28 Feb 2022;0;0;0
JGL Vizol S Nov-Dec 2022 (YT) - TrueView for Reach - CPM;19068605245;In-stream video;28 Nov 2022;30 Dec 2022;0;0;0
VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_20.3.-30.4.2025.;22346314041;In-stream video;20 Mar 2025;30 Apr 2025;2,278,142;3,829;1786.73
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.;22499210098;In-stream video;1 May 2025;15 Jun 2025;1,487,411;1,806;1200.73
PMAX_OMD_RS-SR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22857655199;Performance Max;2 Aug 2025;31 Dec 2025;405,170;38,487;6182.76
VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034172058;In-stream video;19 Sept 2025;30 Oct 2025;3,519,752;2,573;2099.72
Philips | Lumea | Q2 | 2019 | 05 | GDN - RTG | 1.000;1883110445;Display;10 May 2019;15 Jun 2019;0;0;0
Philips | Lumea | q4 | 2020 | GDN desktop RTG;11642265994;Display;15 Nov 2020;18 Dec 2020;0;0;0
Philips | Air | GDN - Mobile | Q4 | 2020;11729054128;Display;27 Nov 2020;14 Feb 2021;0;0;0
Philips | HairCare | 2021 | Q1 | YT Bumper;12350230683;In-stream video;16 Feb 2021;15 Mar 2021;0;0;0
Philips | Air | GDN - desktop+mobile | Q1 | 2021;12655817497;Display;1 Apr 2021;1 May 2021;0;0;0
Philips | Coffee Q2 | 2021 | YT | seq. Variety;12913244138;In-stream video;1 May 2021;30 May 2021;0;0;0
Philips | Epilators Q2 | 2021 | GDN rtg;13435869800;Display;8 Jun 2021;18 Jul 2021;0;0;0
Philips - Shaving Q4 - 2022 - GDN - PUR;18934992952;Display;15 Nov 2022;22 Dec 2022;0;0;0
DG_OMD_SI-SL_GB_OG_OBBLD_ALL_NA_GOO_AUD_DES_OneBlade_DG_23.1.-18.4.2026.;23486581338;Demand Gen;23 Jan 2026;18 Apr 2026;0;0;0
2021_03_Philips_HairCare_GDN;12477540382;Display;8 Mar 2021;22 Apr 2021;0;0;0
2021_03_Philips_Garment_Care_GDN;12516331808;Display;16 Mar 2021;15 May 2021;0;0;0
2021_05_Steamers_YT;13088622620;In-stream video;15 May 2021;24 Jun 2021;0;0;0
OMD_SLO_BEA-BEA_MultipleProducts_haircareq42023_CF_26.9.-30.10.2023_gdn_awareness;20583471990;Display;26 Sept 2023;31 Oct 2023;0;0;0
OMD_SLO_OHC-PT_MultipleProducts_sonicareq4_CF_27.10.2023_22.12.2023_discovery_consideration;20727342614;Demand Gen;30 Oct 2023;22 Dec 2023;0;0;0
DG_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ_DG_20.2.-30.4.2024.;21045503266;Demand Gen;21 Feb 2024;30 Apr 2024;0;0;0
VID_OMD_SI-SL_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_YT_15.4.-4.6.2024.;21190266416;In-stream video;15 Apr 2024;4 Jun 2024;0;0;0
PMAX_OMD_SI-EN_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_BLADES 6.8.-25.9.2024._PMAX;21549258475;Performance Max;6 Aug 2024;25 Sept 2024;0;0;0
OMD_RS_BEA-BEA_IPL_lumeaq42021_CF_01.11.2021_31.12.2021_DIS_;15104508453;Display;1 Nov 2021;31 Dec 2021;0;0;0
OMD_RS_BHIW_OralHygiene_sonicareq42022_CF_01.11.2022_31.12.2022;18782075710;Display;1 Nov 2022;31 Dec 2022;0;0;0
JGL Vizol S May-June 2020 (YT) - Mladi;10015689556;In-stream video;5 May 2020;14 Jun 2020;0;0;0
JGL Vizol S September - October 2020 (DN) - Screen professionals;11190865189;Display;23 Sept 2020;25 Oct 2020;0;0;0
Dr. Oetker Paula 2.flight Sep - Oct 2023 (YT) - CPV;20105407168;In-stream video;1 Sept 2023;31 Oct 2023;0;0;0
Dr. Oetker Bread Club Sept - Oct 2024 (DN) - CPC;21693669044;Display;11 Sept 2024;10 Oct 2024;0;0;0
Hervis SDXXL February KW8 2023 (DN) - CPC;19722046984;Display;24 Feb 2023;26 Feb 2023;0;0;0
Hervis Digi letak KW15 April 2023 (DN) - CPC;19969181027;Display;14 Apr 2023;23 Apr 2023;0;0;0
Hervis Digi Letak KW41 October 2023 (DN) - CPC;20650078984;Display;11 Oct 2023;17 Oct 2023;0;0;0
DG_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22247614314;Demand Gen;18 Feb 2025;14 Apr 2025;6,988,150;167,066;1949.89
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;22394892459;In-stream video;2 Apr 2025;30 May 2025;5,934,058;4,522;2501.79
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;23140032403;Performance Max;15 Oct 2025;30 Nov 2025;139,935;4,396;698.91
Philips | Lumea | YT | sequence | Q3 | 2020;10186499511;In-stream video;1 Jul 2020;30 Jul 2020;0;0;0
Philips | OHC | Sonicare | Q4 2020 | GDN mobile RTG;11526857666;Display;2 Nov 2020;18 Dec 2020;0;0;0
Philips | Coffee | Q4 | 2020 | GDN desktop;11539989557;Display;3 Nov 2020;31 Dec 2020;0;0;0
Philips | HairCare | 2021 | Q1 | YT TrueView;12350210535;In-stream video;16 Feb 2021;15 Mar 2021;0;0;0
Philips | Handsticks Q2 | 2021 | GDN mobile;12987459799;Display;6 May 2021;24 Jun 2021;0;0;0
Philips - OneBlade Q1 - 2022 - GDN;16213235409;Display;14 Feb 2022;30 Mar 2022;0;0;0
Philips Multigroomers 2022 Q2 awareness GDN;16901432574;Display;14 Apr 2022;30 May 2022;0;0;0
2020_12_Philips_Lumea_GDN;11619965991;Display;15 Nov 2020;31 Dec 2020;0;0;0
OMD_SLO_BEA-BEA_IPL_lumeaq22023_CF_10.04.2023_15.06.2023_gdn_consideration;19966792531;Display;11 Apr 2023;15 Jun 2023;0;0;0
Greška Discovery;20516480113;Demand Gen;1 Sept 2023;8 Oct 2023;0;0;0
OMD_SLO_BEA-BEA_MultipleProducts_haircareq42023_CF_26.9.-30.10.2023_GDN_performance_max;20595534208;Performance Max;27 Sept 2023;31 Oct 2023;0;0;0
OMD_SLO_MG-MG_Grooming_multigroomq42023_CF_20.11.-25.12.20233_gdn_consideration_rt;20781277409;Display;16 Nov 2023;25 Dec 2023;0;0;0
OMD_RS_BEA-BEA_IPL_lumeaq42021_CF_01.11.2021_31.12.2021_YT;15106166791;In-stream video;1 Nov 2021;31 Dec 2021;0;0;0
OMD_RS_BEA_IPL_lumeaq22022_CF_08.05.2022_25.05.2022_YT(bumper);16990216255;In-stream video;8 May 2022;25 May 2022;0;0;0
DIS_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_GDN_14.11.-31.12.2025.;23288353174;Display;20 Nov 2025;31 Dec 2025;2,141,135;34,372;796.31
JGL Vizol S October (GDN);949835032;Display;9 Oct 2017;7 Nov 2017;0;0;0
JGL Meralys HA February - March 2019 (YT);1708599591;In-stream video;14 Feb 2019;15 Mar 2019;0;0;0
JGL Vizol S March - April 2021 (DN) - CPC;12601091757;Display;22 Mar 2021;19 Apr 2021;0;0;0
jgl | sretne guze | display | keywords;13139207748;Display;20 May 2021;30 Dec 2021;0;0;0
JGL Fungilac May - June 2022 (DN) - CPM;17234780391;Display;12 May 2022;15 Jun 2022;0;0;0
Dr. Oetker Doručkujmo zajedno Aug - Sep 2025 (DN) - CPC;22942585570;Display;26 Aug 2025;23 Sept 2025;1,238,555;28,586;1424.94
Dr. Oetker Bread Club October 2025 (DN) - CPC;23084507224;Display;6 Oct 2025;31 Oct 2025;845,617;21,333;906.29
DG_OMD_RS-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_HAIRCARE;21387841425;Demand Gen;18 Jun 2024;30 Nov 2024;0;0;0
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 9.9.-9.10.2024._parents;21678243819;In-stream video;9 Sept 2024;9 Oct 2024;0;0;0
ne radi 2;21837853867;Display;22 Oct 2024;24 Dec 2024;0;0;0
Philips_Lumea_2017_Display;973439902;Display;3 Nov 2017;17 Dec 2017;0;0;0
Philips_Handsticks | GDN mobile | Q1 | 2020;9584736857;Display;9 Mar 2020;30 Apr 2020;0;0;0
Philips | Coffee | Q1 | 2020 | GDN mobile #2;9592229406;Display;10 Mar 2020;25 Apr 2020;0;0;0
Philips | Shaving | GDN - Mobile | Q4 | 2020;11648581882;Display;16 Nov 2020;21 Dec 2020;0;0;0
Philips | Coffee Q2 | 2021 | YT | seq. Desire;12912470064;In-stream video;1 May 2021;30 May 2021;0;0;0
Philips - OneBlade Q1 - 2022 - YT;16226702083;In-stream video;15 Feb 2022;30 Mar 2022;0;0;0
Philips - SenseiQ Q4 - 2022 - GDN PURCHASE;18507676509;Display;4 Oct 2022;3 Dec 2022;0;0;0
OMD_SLO_MG-MG_MultipleProducts_obbladesq12023_CF_20.01.2023_20.02.2023_YouTube;19592181569;In-stream video;20 Jan 2023;20 Feb 2023;0;0;0
DIS_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_GDN_20.10.-31.12.2025.;23168583044;Display;22 Oct 2025;31 Dec 2025;937,586;13,144;747.23
VID_OMD_SI-SL_GB_S_SX_ALL_NA_GOO_AUD_DES_Shaving_15.1.-28.2.2026.;23464086239;In-stream video;15 Jan 2026;28 Feb 2026;0;0;0
2020_06_OneBlade_YT;10191896828;In-stream video;2 Jun 2020;17 Aug 2020;0;0;0
2021_01_Air_GDN;11961013883;Display;1 Jan 2021;15 Mar 2021;0;0;0
2021_05_Espresso_YT;12838469983;In-stream video;1 May 2021;24 Jun 2021;0;0;0
OMD_SLO_OHC-PT_MultipleProducts_powerflosserq22023_CF_19.06.2023_11.08.2023_gdn_awareness;20292021359;Display;19 Jun 2023;11 Aug 2023;0;0;0
OMD_SLO_MG-MG_MultipleProducts_obbladeq42023_CF_10.10.2023_25.11.2023_GDN_discovery;20636671650;Demand Gen;10 Oct 2023;25 Nov 2023;0;0;0
OMD_SLO_BEA-BEA_MultipleProducts_shavingq4_CF_16.10.-10.12.20233_gdn_awareness;20675720053;Display;17 Oct 2023;10 Dec 2023;0;0;0
OMD_SLO_OHC-PT_MultipleProducts_sonicareq4_CF_27.10.2023_22.12.2023_gdn_awareness;20720913735;Display;30 Oct 2023;22 Dec 2023;0;0;0
OMD_SRB_MG-MG_MultipleProducts_obbladeq42023_CF_10.10.2023_25.11.2023_GDN_discovery;20646635431;Demand Gen;10 Oct 2023;25 Nov 2023;0;0;0
OMD_SRB_MG-MG_Grooming_multigroomq42023_CF_20.11.-25.12.2024_discovery_consideration;20781071240;Demand Gen;20 Nov 2023;25 Dec 2023;0;0;0
OMD_SRB_MG-MG_Grooming_multigroomq42023_CF_20.11.-25.12.2024_gdn_consideration_rt;20785070113;Display;20 Nov 2023;25 Dec 2023;0;0;0
JGL Vizol S May 2018 (YT);1391794522;In-stream video;7 May 2018;30 Jun 2018;0;0;0
JGL AQM Classic October - November 2019 (DN);7338404768;Display;24 Oct 2019;20 Nov 2019;0;0;0
JGL Meralys November 2019 (DN);8099192803;Display;14 Nov 2019;5 Dec 2019;0;0;0
JGL Reflustat April 2020 (YT);9848741448;In-stream video;10 Apr 2020;30 Apr 2020;0;0;0
JGL Vizol S November - December 2020 (YT);11653250318;In-stream video;17 Nov 2020;16 Dec 2020;0;0;0
jgl | pablo | xmas | display | retargeting;11868714179;Display;17 Dec 2020;24 Dec 2020;0;0;0
JGL Reflustat October - December 2021 (YT) - TrueView for Reach - CPM;14918103015;In-stream video;11 Oct 2021;20 Dec 2021;0;0;0
JGL Meralys October - December 2021 (YT) - TrueView for Reach - CPM;15012561593;In-stream video;20 Oct 2021;11 Dec 2021;0;0;0
Ništa ništa;17455785359;Display;10 Jun 2022;1 Sept 2022;0;0;0
Dr.Oetker - Xmass December 2022 (YT) - CPV;19117809971;In-stream video;2 Dec 2022;25 Dec 2022;0;0;0
Dr Oetker High Protein Pudding June - July 2023 (DN) - CPC;20266983091;Display;9 Jun 2023;17 Jul 2023;0;0;0
Dr Oetker High Protein Pudding October 2023 (DN) - CPC;20594445033;Display;1 Oct 2023;31 Oct 2023;0;0;0
Dr. Oetker Božićna kampanja Nov-Dec 2024 (YT) - CPM;21918550998;In-stream video;19 Nov 2024;24 Dec 2024;0;0;0
Hervis Otvorenje Vinkovci 2 KW17 April 2023 (DN) - CPC;20035108789;Display;27 Apr 2023;2 May 2023;0;0;0
Hervis SDXXL KW 23 June 2023 (DN) - CPC;20255883260;Display;7 Jun 2023;11 Jun 2023;0;0;0
VID_OMD_RS-SR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_MultigroomQ3_10.09.-31.10.2024._Youtube;21691996987;In-stream video;10 Sept 2024;31 Oct 2024;0;0;0
YTV_OMD_ME-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_18.10.-24.12.2024.;21833972132;In-stream video;22 Oct 2024;24 Dec 2024;0;0;0
DIS_OMD_ME-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_18.10.-24.12.2024;21837996859;Display;22 Oct 2024;24 Dec 2024;0;0;0
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22651133247;Demand Gen;9 Jun 2025;30 Jul 2025;4,156,626;130,708;1348.1
lumeabihq42021 - Purchase;15131990358;Display;1 Nov 2021;31 Dec 2021;0;0;0
Philips | Steamers | GDN mobile | Q4 | 2020;11624134237;Display;15 Nov 2020;18 Dec 2020;0;0;0
Philips | Steamgenerators Q1 2021 | GDN desktop;12526400845;Display;16 Mar 2021;30 Apr 2021;0;0;0
Philips | Lumea Q4 | 2021 | GDN / OCT;14989718348;Display;18 Oct 2021;15 Dec 2021;0;0;0
Philips - Sonicare Q2 - 2022 - GDN - Purchase;16877968066;Display;12 Apr 2022;13 May 2022;0;0;0
Philips - OneBlade Q4 - 2022 - YT;18516139133;In-stream video;4 Oct 2022;30 Nov 2022;0;0;0
OMD_SLO_OHC-BHIW_BrushHeads_brusheadsq12023_CF_08.03.2023_31.10.2023_GDN_performancemax;19774053495;Performance Max;8 Mar 2023;31 Oct 2023;0;0;0
VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679984082;In-stream video;17 Jun 2025;20 Aug 2025;1,185,904;751;1301.47
PMAX_OMD_SI-SL_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22854651094;Performance Max;1 Aug 2025;31 Dec 2025;539,801;10,099;5666.71
VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577080;In-stream video;7 Nov 2025;31 Dec 2025;760,483;762;1400.61
OMD_SLO_MG-MG_MultipleProducts_onebladeq22023 _CF_12.06.2023_26.07.2023_GDN_discovery;20275134178;Demand Gen;12 Jun 2023;26 Jul 2023;0;0;0
DG_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_21.10.-24.12.2024.;21827352468;Demand Gen;22 Oct 2024;24 Dec 2024;0;0;0
OMD_SRB_BEA-BEA_MultipleProducts_haircareq42023_CF_26.9.-30.10.2023_GDN_performance_max;20585666280;Performance Max;27 Sept 2023;31 Oct 2023;0;0;0
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_15.10-15.12.2025.;23142979085;Performance Max;16 Oct 2025;15 Dec 2025;430,462;19,621;1458.51
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;23171314950;In-stream video;24 Oct 2025;30 Nov 2025;2,751,719;2,051;1200.54
VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23172866092;In-stream video;22 Oct 2025;31 Dec 2025;4,412,808;4,351;2098.29
PMAX_OMD_RS-SR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO_Lumea;23210024144;Performance Max;2 Nov 2025;31 Dec 2025;38,879;3,573;789.86
JGL Meralys HA November 2017 (YT);969935238;In-stream video;31 Oct 2017;31 Dec 2017;0;0;0
JGL Reflustat November - December 2019 (DN) - Praktična primjena;8273426790;Display;27 Nov 2019;29 Dec 2019;0;0;0
JGL Meralys January - March 2020 (YT);9198577433;In-stream video;3 Feb 2020;8 Mar 2020;0;0;0
JGL AQM October - December 2021 (YT) - TrueView - CPV;14919620866;In-stream video;11 Oct 2021;12 Dec 2021;0;0;0
JGL Reflustat Nov-Dec 2022 (YT) - TrueView for Reach - CPM;19068974767;In-stream video;28 Nov 2022;30 Dec 2022;0;0;0
Dr.Oetker - Xmass December 2022 (DN) - CPC;19117809974;Display;2 Dec 2022;25 Dec 2022;0;0;0
DG_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_08.10.-30.12.2024._DEMAND GEN;21790209287;Demand Gen;8 Oct 2024;24 Dec 2024;0;0;0
DG_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23070221480;Demand Gen;1 Oct 2025;30 Nov 2025;1,403,232;30,887;1099.99
DIS_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23074322560;Display;1 Oct 2025;30 Nov 2025;4,798,946;17,210;1223.44
lumeabihq42021_Awareness;15137033732;Display;1 Nov 2021;31 Dec 2021;0;0;0
Philips_SoniCare_2017_YouTube;847736793;In-stream video;6 Jun 2017;30 Jun 2017;0;0;0
Philips_HandSticks_2018_Display;1264076866;Display;19 Mar 2018;15 Apr 2018;0;0;0
Philips_HandSticks_Youtube_2018;1264575069;In-stream video;19 Mar 2018;15 Apr 2018;0;0;0
Philips | Steamers | GDN - Desktop | Q3 | 2020;10263258449;Display;10 Jun 2020;30 Jun 2020;0;0;0
Philips | Sonicare | 2021 | Q3 | YT;14725587506;In-stream video;21 Sept 2021;20 Nov 2021;0;0;0
Philips - SenseiQ Q2 - 2022 - GDN - PURCHASE;17535683661;Display;20 Jun 2022;20 Jul 2022;0;0;0
Philips - SenseiQ Q4 - 2022 - YT;18499691889;In-stream video;3 Oct 2022;3 Dec 2022;0;0;0
Greška 3;23159902234;Demand Gen;20 Oct 2025;10 Nov 2025;0;0;0
2020_06_Handsticks_YT;10200624411;In-stream video;2 Jun 2020;29 Jun 2020;0;0;0
OMD_SLO_MG-MG_Grooming_multigroomq42023_CF_20.11.-25.12.2023_GDN_performance_max;20774872050;Performance Max;16 Nov 2023;25 Dec 2023;0;0;0
KRIVO KOPIRANO - OBRISANO;21042067130;Demand Gen;21 Feb 2024;30 Apr 2024;0;0;0
DG_OMD_SI-SL_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_MultigroomQ3_01.09.-31.10.2024._DemandGen;21639534933;Demand Gen;1 Sept 2024;31 Oct 2024;0;0;0
OMD_RS_BEA_IPL_lumeaq42022_CF_14.10.2022_14.11.2022_YT-Preroll;18596969514;In-stream video;14 Oct 2022;14 Nov 2022;0;0;0
greška;19691260535;In-stream video;15 Feb 2023;30 Mar 2023;0;0;0
OMD_SRB_MG-MG_MultipleProducts_obblades322023_CF_01.08.2023_14.09.20233_GDN_performancemax;20419785358;Performance Max;1 Aug 2023;14 Sept 2023;0;0;0
OMD_SRB_MG-MG_Grooming_multigroomq42023_CF_20.11.-25.12.2024_gdn_awareness;20784962593;Display;20 Nov 2023;25 Dec 2023;0;0;0
PMAX_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_PMAX_5.4.-15.6.2024.;21198763615;Performance Max;16 Apr 2024;15 Jun 2024;0;0;0
JGL Reflustat May 2019 (DN) - Mladi;1902225810;Display;14 May 2019;15 Jun 2019;0;0;0
JGL Meralys March 2020 (YT);9587860998;In-stream video;9 Mar 2020;27 Mar 2020;0;0;0
JGL AQM October - December 2021 (YT) -  Bumper - CPM;14919620350;In-stream video;11 Oct 2021;12 Dec 2021;0;0;0
Dr Oetker Super kaša July 2023 (DN) - CPC;20318556924;Display;3 Jul 2023;31 Jul 2023;0;0;0
DG_OMD_RS-EN_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_GGL AWO_ONEBLADE;21387841323;Demand Gen;18 Jun 2024;30 Nov 2024;0;0;0
VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ_YT_1.10.-15.12.2024._greška;21768688311;In-stream video;3 Oct 2024;15 Dec 2024;0;0;0
