Campaign;Account;Campaign ID;Impr.;Clicks;CTR;Avg. CPM;Avg. CPC;TrueView views;TrueView avg. CPV;Cost_Original;Conversions;Conv. rate;Cost / conv.;Cost;YouTube_Ad_Formats;Target_Countries;Number_of_Countries;Has_Demographics;Demographics_Segments_Count;Demographics_Label;Has_Interests;Interest_Segments_Count;Interests_Label;Start_Date;End_Date;Peak_Reach;Active_Quarters;Cost_Original_Global;Campaign bid strategy type;Target;Brand;Ad_Format;Date_Range;Bid_Strategy_Short;Goal;Standardized_Campaign_Name
Kaufland - Image - Other - NEO - Otvorenje Osijek - Oct 2025 (DN) - CPM;Kaufland_Display_HR;23076969740;5,360,033;6,100;0.11%;0.25;0.22;0;0.0;1348.76;196.42;3.22%;6.87;1348.76;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;2 Oct 2025;15 Oct 2025;391973;Q4;1348.76;Viewable CPM;65+ | All;Kaufland;Other;Oct 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Oct 25 | vCPM | Awareness
202501//Bref//Power Active RL 24//Easier Way campaign//video//Trueview//ALL25-34;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22142822619;548,741;643;0.12%;2.17;1.85;0;0.0;1189.85;0;0.00%;0.0;1189.85;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;21 Jan 2025;24 Feb 2025;345262;Q1;1189.85;Target CPM;65+ | All;Bref;YouTube Non-Skip;Jan-Feb 25;tCPM;Awareness;Bref | YouTube Non-Skip | 65+ | All | Jan-Feb 25 | tCPM | Awareness
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Apr 2025 (DN) - CPC;Kaufland_Display_HR;22477837665;1,801,756;18,149;1.01%;0.83;0.08;0;0.0;1500.04;410.91;2.26%;3.65;1500.04;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;27 Apr 2025;29 Apr 2025;449426;Q2;1500.04;Maximise clicks;65+ | All;Kaufland;Other;Apr 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Apr 25 | MaxClicks | Consideration
Kaufland - Impuls - Kaufland Card - Blue Tuesday - May 2025 (DN) - CPC;Kaufland_Display_HR;22592469500;1,475,376;23,296;1.58%;0.91;0.06;0;0.0;1348.97;191.9;0.82%;7.03;1348.97;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;25 May 2025;27 May 2025;351925;Q2;1348.97;Maximise clicks;65+ | All;Kaufland;Other;May 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | May 25 | MaxClicks | Consideration
202507//Bref//Power Active RL 24//Easier Way campaign//video//Trueview;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22800836042;4,062,105;4,354;0.11%;2.28;2.13;0;0.0;9262.44;0;0.00%;0.0;9262.44;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;16 Jul 2025;22 Dec 2025;859872;Q3, Q4;9262.44;Target CPM;65+ | All;Bref;YouTube Non-Skip;Jul-Dec 25;tCPM;Awareness;Bref | YouTube Non-Skip | 65+ | All | Jul-Dec 25 | tCPM | Awareness
Kaufland - Online katalog - VRT - Mar 2025 (DN) - CPC;Kaufland_Display_HR;22357788672;1,442,069;28,435;1.97%;0.69;0.04;0;0.0;999.05;938.15;3.30%;1.06;999.05;Non-YouTube Format;Croatia;1;True;21;Available;True;36;Available;23 Mar 2025;4 May 2025;300736;Q1, Q2;999.05;Maximise clicks;65+ | All;Kaufland;Other;Mar-May 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Mar-May 25 | MaxClicks | Consideration
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Mar 2025 (DN) - CPC;Kaufland_Display_HR;22367806441;1,765,407;22,161;1.26%;0.83;0.07;0;0.0;1460.88;665.15;3.00%;2.2;1460.88;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;23 Mar 2025;25 Mar 2025;418551;Q1;1460.88;Maximise clicks;65+ | All;Kaufland;Other;Mar 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Mar 25 | MaxClicks | Consideration
202503// Got2b_STY Topseller B 25_Bumper_16x9_6s_BeachMatt_ChillHold//6sec//CPM//W18-54;CEE//HR//B//Hair Styling//got2b Styling//got2b;22614852371;2,614,324;3,762;0.14%;1.15;0.8;0;0.0;2998.89;0;0.00%;0.0;2998.89;Bumper;Croatia;1;True;21;Available;True;1;Available;29 May 2025;4 Aug 2025;751463;Q2, Q3;2998.89;Target CPM;65+ | All;CEE;YouTube Bumper;May-Aug 25;tCPM;Awareness;CEE | YouTube Bumper | 65+ | All | May-Aug 25 | tCPM | Awareness
Kaufland - Stranci - Punjabi - Jul 2025 (DN) - CPM;Kaufland_Display_HR;22779254867;2,679;6;0.22%;0.4;0.18;0;0.0;1.08;0;0.00%;0.0;1.08;Non-YouTube Format;Croatia;1;True;21;Available;True;14;Available;10 Jul 2025;24 Jul 2025;375;Q3;1.08;Viewable CPM;65+ | All;Kaufland;Other;Jul 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Jul 25 | vCPM | Awareness
Demand_Gen_IndoorCleaning_VacuumCleaners_2024_Unlimited 7_HR;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;21782237668;3,772,526;104,512;2.77%;0.58;0.02;45,167;0.01;2200.12;0;0.00%;0.0;2200.12;Non-YouTube Format;Croatia;1;True;21;Available;True;8;Available;7 Oct 2024;28 Feb 2025;700668;Q1;2200.12;Maximise clicks;65+ | All;Bosch;Demand Gen;Oct-Feb 24;MaxClicks;Consideration;Bosch | Demand Gen | 65+ | All | Oct-Feb 24 | MaxClicks | Consideration
Kaufland - Impuls - Božić - Nov-Dec - (DG) - CPC;Kaufland_Display_HR;23268872371;3,320,753;61,623;1.86%;0.65;0.03;0;0.0;2150.35;4,880.43;7.92%;0.44;2150.35;Non-YouTube Format;Croatia;1;True;21;Available;True;13;Available;14 Nov 2025;24 Dec 2025;593430;Q4;2150.35;Maximise clicks;65+ | All;Kaufland;Demand Gen;Nov-Dec 25;MaxClicks;Consideration;Kaufland | Demand Gen | 65+ | All | Nov-Dec 25 | MaxClicks | Consideration
202503//Got2b_STY Glued Off LX 25_Bumper_16x9_6s_GluedTinted_Styling&ColorB&E_241126asv01FL2D_Global_V1//6sec//CPM//W18-34;CEE//HR//B//Hair Styling//got2b Styling//got2b;22306607992;2,524,016;5,206;0.21%;1.19;0.58;0;0.0;2999.64;0;0.00%;0.0;2999.64;Bumper;Croatia;1;True;21;Available;True;1;Available;3 Mar 2025;5 May 2025;501651;Q1, Q2;2999.64;Target CPM;65+ | All;CEE;YouTube Bumper;Mar-May 25;tCPM;Awareness;CEE | YouTube Bumper | 65+ | All | Mar-May 25 | tCPM | Awareness
202501//Bref//Power Active RL 24//Easier Way campaign//video//Trueview//F35-54withkids;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22142822616;437,988;993;0.23%;2.28;1.01;0;0.0;1000.03;0;0.00%;0.0;1000.03;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;21 Jan 2025;24 Feb 2025;235319;Q1;1000.03;Target CPM;65+ | All;Bref;YouTube Non-Skip;Jan-Feb 25;tCPM;Awareness;Bref | YouTube Non-Skip | 65+ | All | Jan-Feb 25 | tCPM | Awareness
Demand_Gen_IndoorCleaning_Robot_2025_Usisavač_HR;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;23073689005;13,092,675;247,246;1.89%;0.91;0.05;0;0.0;11923.61;40,293.95;16.30%;0.3;11923.61;Non-YouTube Format;Croatia;1;True;21;Available;True;22;Available;1 Oct 2025;30 Dec 2025;1325932;Q4;11923.61;Maximise clicks;65+ | All;Bosch;Demand Gen;Oct-Dec 25;MaxClicks;Consideration;Bosch | Demand Gen | 65+ | All | Oct-Dec 25 | MaxClicks | Consideration
Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC;Kaufland_Display_HR;23064392874;55,840;2,173;3.89%;16.79;0.43;0;0.0;937.7;3,178.87;146.02%;0.29;937.7;Non-YouTube Format;Croatia;1;True;21;Available;True;36;Available;30 Sept 2025;2 Oct 2025;25175;Q3, Q4;937.7;Maximise clicks;65+ | All;Kaufland;Demand Gen;Sep-Oct 25;MaxClicks;Consideration;Kaufland | Demand Gen | 65+ | All | Sep-Oct 25 | MaxClicks | Consideration
Kaufland - Impuls - Kaufland Card - Nagradna igra - Jun 2025 (DN) - CPC;Kaufland_Display_HR;22634269397;2,697,103;48,146;1.79%;0.72;0.04;0;0.0;1944.36;419.58;0.87%;4.63;1944.36;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;4 Jun 2025;17 Jun 2025;629267;Q2;1944.36;Maximise clicks;65+ | All;Kaufland;Other;Jun 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Jun 25 | MaxClicks | Consideration
Kaufland - Impuls - Katalog Dekoracije i kolači - (DN) - CPC;Kaufland_Display_HR;23303954306;1,844,867;22,414;1.21%;0.75;0.06;0;0.0;1389.33;1,096.90;4.89%;1.27;1389.33;Non-YouTube Format;Croatia;1;True;21;Available;True;21;Available;26 Nov 2025;24 Dec 2025;477256;Q4;1389.33;Manual CPC;65+ | All;Kaufland;Other;Nov-Dec 25;CPC;Consideration;Kaufland | Other | 65+ | All | Nov-Dec 25 | CPC | Consideration
Kaufland - Image - Impuls - Gaming - Minecraft - Apr 2025 (DN) - CPM;Kaufland_Display_HR;22409208617;5,157,805;4,356;0.08%;0.24;0.29;0;0.0;1257.07;130.45;2.99%;9.64;1257.07;Non-YouTube Format;Croatia;1;True;21;Available;True;26;Available;7 Apr 2025;25 Apr 2025;662608;Q2;1257.07;Viewable CPM;65+ | All;Kaufland;Other;Apr 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Apr 25 | vCPM | Awareness
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Jan 2025 (DN) - CPC;Kaufland_Display_HR;22133425589;2,221,157;37,255;1.68%;0.66;0.04;0;0.0;1474.13;809.78;2.17%;1.82;1476.31;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;25 Jan 2025;28 Jan 2025;493614;Q1;1474.13;Maximise clicks;65+ | All;Kaufland;Other;Jan 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Jan 25 | MaxClicks | Consideration
Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;Kaufland_Display_HR;22902769159;2,061,278;22,186;1.08%;1.16;0.11;0;0.0;2391.6;1,943.99;8.76%;1.23;2351.54;Non-YouTube Format;Australia, Belgium, Bulgaria, Canada, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Germany, Greece, Hong Kong, Hungary, Iceland, Israel, Japan, Latvia, Lithuania, Luxembourg, Macao, Malta, Netherlands, New Zealand, Nigeria, Norway, Oman, Poland, Portugal, Qatar, Reunion, Romania, Saudi Arabia, Singapore, Slovakia, South Africa, South Korea, Sweden, Switzerland, United States;40;True;21;Available;True;12;Available;13 Aug 2025;14 Sept 2025;466671;Q3;2391.6;Maximise clicks;65+ | All;Kaufland;Other;Aug-Sep 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Aug-Sep 25 | MaxClicks | Consideration
202503//Got2b_STY Glued Off LX 25_OLV_16x9_15s_GluedTinted_Styling&ColorB&E_241122asv04FL2D_Global_V1//15sec//CPM//W18-34;CEE//HR//B//Hair Styling//got2b Styling//got2b;22296206877;1,778,322;2,529;0.14%;2.25;1.58;0;0.0;4000.0;0;0.00%;0.0;4000.0;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;3 Mar 2025;5 May 2025;391054;Q1, Q2;4000.0;Target CPM;65+ | All;CEE;YouTube Non-Skip;Mar-May 25;tCPM;Awareness;CEE | YouTube Non-Skip | 65+ | All | Mar-May 25 | tCPM | Awareness
202502//Ceresit //Gratis//Rovinj;CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;22440875162;459,770;2,863;0.62%;0.88;0.14;0;0.0;406.64;0;0.00%;0.0;406.64;Non-YouTube Format;Croatia;1;True;21;Available;True;11;Available;14 Apr 2025;14 May 2025;87479;Q2;406.64;Maximise clicks;65+ | All;CEE;Other;Apr-May 25;MaxClicks;Consideration;CEE | Other | 65+ | All | Apr-May 25 | MaxClicks | Consideration
Kaufland - Image - Impuls - Other - Otvaranje konkurencije - Vinkovci - Jun-Jul 2025 (DN) - CPM;Kaufland_Display_HR;22715554283;1,640,530;2,110;0.13%;0.3;0.24;0;0.0;499.99;106.07;5.03%;4.71;499.99;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;25 Jun 2025;22 Jul 2025;182960;Q2, Q3;499.99;Viewable CPM;65+ | All;Kaufland;Other;Jun-Jul 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Jun-Jul 25 | vCPM | Awareness
Kaufland - Image - Impuls - Other - Otvaranje konkurencije - Dugo Selo - Jan-Feb 2025 (DN) - CPM;Kaufland_Display_HR;22157995591;1,308,657;1,525;0.12%;0.38;0.33;0;0.0;499.97;59.94;3.93%;8.34;500.74;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;24 Jan 2025;4 Feb 2025;168751;Q1;499.97;Viewable CPM;65+ | All;Kaufland;Other;Jan-Feb 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Jan-Feb 25 | vCPM | Awareness
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Aug 2025 (DN) - CPC;Kaufland_Display_HR;22922001768;1,619,886;20,025;1.24%;0.65;0.05;0;0.0;1057.18;305.59;1.53%;3.46;1057.18;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;23 Aug 2025;26 Aug 2025;403261;Q3;1057.18;Maximise clicks;65+ | All;Kaufland;Other;Aug 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Aug 25 | MaxClicks | Consideration
202501//Bref//Power Active RL 24//Easier Way campaign//video//Bumper//ALL25-34withkids;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22149196223;430,657;1,044;0.24%;1.39;0.57;0;0.0;597.69;0;0.00%;0.0;597.69;Bumper;Croatia;1;True;21;Available;True;1;Available;21 Jan 2025;24 Feb 2025;259500;Q1;597.69;Target CPM;65+ | All;Bref;YouTube Bumper;Jan-Feb 25;tCPM;Awareness;Bref | YouTube Bumper | 65+ | All | Jan-Feb 25 | tCPM | Awareness
PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight;HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn;22405006700;3,362,872;141,767;4.22%;0.95;0.02;246,878;0.01;3200.23;60.14;0.01%;53.21;3200.23;Non-YouTube Format;Croatia;1;True;21;Available;True;13;Available;3 Apr 2025;30 Jun 2025;543087;Q2;3200.23;Maximise clicks;65+ | All;Bosch;Other;Apr-Jun 25;MaxClicks;Consideration;Bosch | Other | 65+ | All | Apr-Jun 25 | MaxClicks | Consideration
202501//Bref//Power Active RL 24//Easier Way campaign//video//Bumper//ALL25-34;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22149196229;516,423;686;0.13%;1.33;1.0;0;0.0;689.07;0;0.00%;0.0;689.07;Bumper;Croatia;1;True;21;Available;True;1;Available;21 Jan 2025;24 Feb 2025;341432;Q1;689.07;Target CPM;65+ | All;Bref;YouTube Bumper;Jan-Feb 25;tCPM;Awareness;Bref | YouTube Bumper | 65+ | All | Jan-Feb 25 | tCPM | Awareness
Kaufland - Image - Impuls - FIMA - Split - Ravne njive - Jun-Jul 2025 (DN) - CPC;Kaufland_Display_HR;22719312160;756,921;10,361;1.37%;0.66;0.05;0;0.0;499.47;599.5;5.79%;0.83;499.47;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;25 Jun 2025;22 Jul 2025;138889;Q2, Q3;499.47;Maximise clicks;65+ | All;Kaufland;Other;Jun-Jul 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Jun-Jul 25 | MaxClicks | Consideration
202510//Ceresit STOP//Local Brand Support Rubson Healthy Home 2023 (FR)//Local Brand Support Healthy Home 2023;CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;23120362515;2,793,007;62,790;2.25%;1.21;0.05;0;0.0;3374.37;0;0.00%;0.0;3374.37;Non-YouTube Format;Croatia;1;True;21;Available;True;11;Available;15 Oct 2025;30 Nov 2025;780121;Q4;3374.37;Maximise clicks;65+ | All;CEE;Other;Oct-Nov 25;MaxClicks;Consideration;CEE | Other | 65+ | All | Oct-Nov 25 | MaxClicks | Consideration
202503// Got2b_STY Topseller B 25_OLV_16x9_15s_RangeBeachMattTwistedPowderful-Master_ChillHold&HeatProtection&VolumeBoost//15sec//CPM//W18-54;CEE//HR//B//Hair Styling//got2b Styling//got2b;22608337149;1,623,672;1,023;0.06%;2.46;3.91;0;0.0;4000.14;0;0.00%;0.0;4000.14;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;29 May 2025;4 Aug 2025;583120;Q2, Q3;4000.14;Target CPM;65+ | All;CEE;YouTube Non-Skip;May-Aug 25;tCPM;Awareness;CEE | YouTube Non-Skip | 65+ | All | May-Aug 25 | tCPM | Awareness
Kaufland - Impuls - CRM - 50 dana - 50 poklona - Jan-Mar 2025 (DN) - CPC;Kaufland_Display_HR;22100777516;2,621,464;43,179;1.65%;0.53;0.03;0;0.0;1390.74;760.62;1.76%;1.83;1391.37;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;7 Jan 2025;1 Mar 2025;581349;Q1;1390.74;Maximise clicks;65+ | All;Kaufland;Other;Jan-Mar 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Jan-Mar 25 | MaxClicks | Consideration
Kaufland - K-Card Easter - Uskrs - Mar-Apr 2025 (DN) - CPC;Kaufland_Display_HR;22349140680;1,388,710;21,393;1.54%;0.65;0.04;0;0.0;900.9;456.24;2.13%;1.97;900.9;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;19 Mar 2025;19 Apr 2025;292644;Q1, Q2;900.9;Maximise clicks;65+ | All;Kaufland;Other;Mar-Apr 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Mar-Apr 25 | MaxClicks | Consideration
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Biograd - May-Jun 2025 (DN) - CPM;Kaufland_Display_HR;22588026601;1,325,725;1,584;0.12%;0.57;0.47;0;0.0;752.22;40.59;2.56%;18.53;752.22;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;21 May 2025;17 Jun 2025;172905;Q2;752.22;Viewable CPM;65+ | All;Kaufland;Other;May-Jun 25;vCPM;Awareness;Kaufland | Other | 65+ | All | May-Jun 25 | vCPM | Awareness
Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DG) - CPC;Kaufland_Display_HR;22939420753;120,155;4,247;3.53%;4.17;0.12;0;0.0;501.59;6,550.96;154.18%;0.08;501.59;Non-YouTube Format;Croatia;1;True;21;Available;True;35;Available;26 Aug 2025;28 Aug 2025;60835;Q3;501.59;Maximise clicks;65+ | All;Kaufland;Demand Gen;Aug 25;MaxClicks;Consideration;Kaufland | Demand Gen | 65+ | All | Aug 25 | MaxClicks | Consideration
DetoxMay25_Range_HomeAppliances_Kitchen_Flight_Blenders;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;22586653620;503,520;11,838;2.35%;1.3;0.06;0;0.0;653.44;5,353.93;45.23%;0.12;653.44;Non-YouTube Format;Croatia;1;True;21;Available;True;13;Available;23 May 2025;30 Jun 2025;189918;Q2;653.44;Maximise Conversions;65+ | All;Bosch;Other;May-Jun 25;MaxConv;Action;Bosch | Other | 65+ | All | May-Jun 25 | MaxConv | Action
Kaufland - Impuls - Competition - NEO konkurencija Vinkovci - 100ti kupac - Dec-Jan 2024 (DN) - CPM;Kaufland_Display_HR;22016705165;473,750;719;0.15%;0.27;0.18;0;0.0;126.81;20;2.78%;6.34;126.81;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;11 Dec 2024;7 Jan 2025;84451;Q1;126.81;Viewable CPM;65+ | All;Kaufland;Other;Dec-Jan 24;vCPM;Awareness;Kaufland | Other | 65+ | All | Dec-Jan 24 | vCPM | Awareness
202507//Bref//Power Active RL 24//Easier Way campaign//video//Bumper;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22794974865;4,285,178;9,218;0.22%;1.44;0.67;0;0.0;6170.26;0;0.00%;0.0;6170.26;Bumper;Croatia;1;True;21;Available;True;1;Available;16 Jul 2025;22 Dec 2025;874266;Q3, Q4;6170.26;Target CPM;65+ | All;Bref;YouTube Bumper;Jul-Dec 25;tCPM;Awareness;Bref | YouTube Bumper | 65+ | All | Jul-Dec 25 | tCPM | Awareness
202503//Bref//TWC Cat Growth CX 24//Consumption campaign//video//Bumper;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22326129339;4,423,650;9,625;0.22%;1.38;0.63;0;0.0;6091.93;0;0.00%;0.0;6091.93;Bumper;Croatia;1;True;21;Available;True;1;Available;12 Mar 2025;29 Jun 2025;1004378;Q1, Q2;6091.93;Target CPM;65+ | All;Bref;YouTube Bumper;Mar-Jun 25;tCPM;Awareness;Bref | YouTube Bumper | 65+ | All | Mar-Jun 25 | tCPM | Awareness
Kaufland - Stranci - Filipino - Jul 2025 (DN) - CPM;Kaufland_Display_HR;22783166083;6,788;22;0.32%;0.82;0.25;0;0.0;5.58;0;0.00%;0.0;5.58;Non-YouTube Format;Croatia;1;True;21;Available;True;14;Available;10 Jul 2025;24 Jul 2025;1151;Q3;5.58;Viewable CPM;65+ | All;Kaufland;Other;Jul 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Jul 25 | vCPM | Awareness
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - German language;Kaufland_Display_HR;22619003188;12,199,537;16,319;0.13%;0.25;0.19;0;0.0;3063.67;204.68;1.25%;14.97;3063.67;Non-YouTube Format;Croatia;1;True;21;Available;True;3;Available;1 Jun 2025;14 Sept 2025;594902;Q2, Q3;3063.67;Viewable CPM;65+ | All;Kaufland;Other;Jun-Sep 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Jun-Sep 25 | vCPM | Awareness
Kaufland - Impuls - Online leaflets - Back to school - Aug-Sep 2025 (DN) - CPC;Kaufland_Display_HR;22942079495;1,903,965;22,690;1.19%;0.56;0.05;0;0.0;1074.9;546.65;2.41%;1.97;1074.9;Non-YouTube Format;Croatia;1;True;21;Available;True;6;Available;27 Aug 2025;9 Sept 2025;468434;Q3;1074.9;Maximise clicks;65+ | All;Kaufland;Other;Aug-Sep 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Aug-Sep 25 | MaxClicks | Consideration
Kaufland - Impuls - Other - Online katalog - Kućni ljubimci - Jan-Feb 2025 (DN) - CPC;Kaufland_Display_HR;22138453161;2,154,429;36,459;1.69%;0.74;0.04;0;0.0;1594.67;4,507.61;12.36%;0.35;1596.67;Non-YouTube Format;Croatia;1;True;21;Available;True;20;Available;20 Jan 2025;1 Feb 2025;543513;Q1;1594.67;Maximise clicks;65+ | All;Kaufland;Other;Jan-Feb 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Jan-Feb 25 | MaxClicks | Consideration
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Italian language;Kaufland_Display_HR;22615379438;2,250,314;2,504;0.11%;0.2;0.18;0;0.0;448.4;38.46;1.54%;11.66;448.4;Non-YouTube Format;Croatia;1;True;21;Available;True;3;Available;1 Jun 2025;14 Sept 2025;103222;Q2, Q3;448.4;Viewable CPM;65+ | All;Kaufland;Other;Jun-Sep 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Jun-Sep 25 | vCPM | Awareness
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Jun 2025 (DN) - CPC;Kaufland_Display_HR;22701405799;2,098,977;25,288;1.20%;0.71;0.06;0;0.0;1493.06;268.55;1.06%;5.56;1493.06;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;21 Jun 2025;24 Jun 2025;442977;Q2;1493.06;Maximise clicks;65+ | All;Kaufland;Other;Jun 25;MaxClicks;Consideration;Kaufland | Other | 65+ | All | Jun 25 | MaxClicks | Consideration
MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;23337586207;4,478,855;105,370;2.35%;0.67;0.03;30,286;0.02;2993.37;462.48;0.31%;6.47;2993.37;Non-YouTube Format;Croatia;1;True;21;Available;True;13;Available;5 Dec 2025;30 Dec 2025;862981;Q4;2993.37;Maximise clicks;65+ | All;Bosch;Other;Dec 25;MaxClicks;Consideration;Bosch | Other | 65+ | All | Dec 25 | MaxClicks | Consideration
Kaufland - Impuls - Red Bull Symphonic - Nov 2025 (DG) - CPC;Kaufland_Display_HR;23224632388;2,802,198;44,645;1.59%;0.53;0.03;0;0.0;1498.97;2,782.92;6.23%;0.54;1498.97;Non-YouTube Format;Croatia;1;True;21;Available;True;35;Available;3 Nov 2025;19 Nov 2025;614860;Q4;1498.97;Maximise clicks;65+ | All;Kaufland;Demand Gen;Nov 25;MaxClicks;Consideration;Kaufland | Demand Gen | 65+ | All | Nov 25 | MaxClicks | Consideration
Kaufland - Impuls - Competition - NEO konkurencija Sinj - 100ti kupac - Dec-Jan 2024 (DN) - CPM;Kaufland_Display_HR;22052818761;2,263,435;3,306;0.15%;0.5;0.34;0;0.0;1138.62;86.98;2.63%;13.09;1136.87;Non-YouTube Format;Bosnia and Herzegovina, Croatia;2;True;21;Available;True;17;Available;27 Dec 2024;21 Jan 2025;364760;Q1;1138.62;Viewable CPM;65+ | All;Kaufland;Other;Dec-Jan 24;vCPM;Awareness;Kaufland | Other | 65+ | All | Dec-Jan 24 | vCPM | Awareness
Kaufland - Stranci - Hindi - Jul 2025 (DN) - CPM;Kaufland_Display_HR;22783135600;784,158;3,415;0.44%;0.4;0.09;0;0.0;317.09;27;0.79%;11.74;317.09;Non-YouTube Format;Croatia;1;True;21;Available;True;14;Available;10 Jul 2025;24 Jul 2025;79618;Q3;317.09;Viewable CPM;65+ | All;Kaufland;Other;Jul 25;vCPM;Awareness;Kaufland | Other | 65+ | All | Jul 25 | vCPM | Awareness
Kaufland - Impuls - Kaufland Card - Nagradna igra - Orašar - November - (DG) - CPC;Kaufland_Display_HR;23257840267;1,804,784;40,982;2.27%;0.8;0.04;0;0.0;1448.26;3,020.59;7.37%;0.48;1448.26;Non-YouTube Format;Croatia;1;True;21;Available;True;4;Available;12 Nov 2025;25 Nov 2025;460083;Q4;1448.26;Maximise clicks;65+ | All;Kaufland;Demand Gen;Nov 25;MaxClicks;Consideration;Kaufland | Demand Gen | 65+ | All | Nov 25 | MaxClicks | Consideration
202505//Perwoll//Perwoll_FCA Touch of New B 25//Touch of New//Trueview;CEE//HR//L//SPD//Expressive Clothes//Perwoll;22658175089;10,212,102;15,684;0.15%;2.43;1.58;0;0.0;24833.67;0;0.00%;0.0;24833.67;Non-skippable in-stream;Croatia;1;True;21;Available;True;18;Available;9 Jun 2025;28 Sept 2025;1549069;Q2, Q3;24833.67;Target CPM;65+ | All;Perwoll;YouTube Non-Skip;Jun-Sep 25;tCPM;Awareness;Perwoll | YouTube Non-Skip | 65+ | All | Jun-Sep 25 | tCPM | Awareness
